"","HYY_META.T336","Time","HYY_EDDY233.u_star","HYY_EDDY233.NEE","HYY_META.PAR2","HYY_META.diffPAR","HYY_META.RHTd","HYY_META.tsoil_A","HYY_META.tsoil_B2","DiffuseFract","VaporPressureDeficit"
"249",23.20733,2015-07-02 14:00:00,0.7083,-9.02,1372.14633,432.03367,43.78067,12.214,9.538,0.314859764264355,1599.88600484508
"250",24.092,2015-07-02 15:00:00,0.76156,-8.096,1341.46567,398.77,43.218,12.43,9.548,0.297264409308365,1704.26458857048
"251",24.85267,2015-07-03 10:00:00,1.3006,-9.28,1413.627,221.576,36.62667,12.83,9.999,0.156742903184503,1990.62752055758
"252",25.79,2015-07-03 11:00:00,1.4131,-8.73,1555.07533,210.75167,31.23533,13.0175,9.986,0.135525055239607,2283.6907999681
"260",10.60667,2015-07-07 10:00:00,0.54421,-3.138,224.41767,223.987,99.484,11.315,10.25,0.998080944339187,6.60068897706424
"261",11.967,2015-07-07 11:00:00,0.36619,-7.54,553.50067,517.80667,98.889,11.3,10.223,0.935512273182976,15.5537007119092
"262",12.25533,2015-07-07 12:00:00,0.34523,1.069,155.608,154.71367,97.87833,11.325,10.186,0.994252673384402,30.2724178044125
"263",13.934,2015-07-08 10:00:00,0.29568,-5.147,362.85267,361.27533,98.165,11.7025,10.13,0.995652946414863,29.218559646858
"264",13.70833,2015-07-08 11:00:00,0.38086,0.241,232.329,230.377,98.23,11.759,10.12,0.991598121629241,27.7732592548971
"265",14.00267,2015-07-08 12:00:00,0.3981,-12.96,568.76633,566.729,97.62033,11.8105,10.122,0.996417984165835,38.0605705589498
"266",14.74033,2015-07-08 13:00:00,0.29505,-5.684,399.15333,397.85967,94.54567,11.8375,10.087,0.996758989834809,91.5015096182676
"267",15.03333,2015-07-08 14:00:00,0.32044,-4.993,286.25333,283.38833,89.66033,11.9525,10.111,0.989991382807669,176.763753671303
"268",15.94333,2015-07-14 12:00:00,0.53734,-9.527,1094.05067,456.52133,48.743,11.294,10.009,0.417276221767681,928.935060208351
"269",16.30733,2015-07-14 13:00:00,0.75938,-12.862,1333.86667,432.25167,46.64433,11.4485,9.995,0.324059128038637,989.692027860978
"270",16.257,2015-07-14 14:00:00,0.68238,-15.688,1108.68567,477.91433,48.595,11.609,9.982,0.431063865017756,950.455562227476
"271",16.939,2015-07-16 12:00:00,0.49587,-10.991,978.25533,734.197,59.838,11.476,9.954,0.750516738815009,775.481390207439
"272",17.975,2015-07-16 13:00:00,0.33929,-17.901,1450.07533,724.977,53.892,11.6515,9.935,0.499958164242405,950.480360219824
"273",18.311,2015-07-16 14:00:00,0.44416,-11.398,723.25967,549.48033,53.54133,11.8925,9.941,0.759727595484482,978.134316770675
"274",18.26767,2015-07-16 15:00:00,0.24347,-5.144,338.75133,328.38333,57.51733,12.099,9.962,0.969393478100883,891.996181926889
"275",15.09233,2015-07-17 11:00:00,0.44186,-11.643,589.728,352.665,82.64483,11.6665,10.102,0.598012982256227,297.827117699356
"276",16.57333,2015-07-17 12:00:00,0.24133,-14.734,1112.22433,544.94567,67.51276,11.838,10.099,0.489960213332143,612.894217453561
"277",18.36267,2015-07-17 15:00:00,0.66461,-14.242,1078.87067,676.94667,54.95567,12.3235,10.081,0.627458590564891,951.434921021233
"278",17.607,2015-07-18 10:00:00,0.40864,-18.307,1245.945,596.455,61.7,11.695,10.253,0.478716957811139,771.436549036186
"279",17.899,2015-07-18 11:00:00,0.37094,-12.887,622.04867,498.621,62.165,11.868,10.228,0.801578757494972,776.218966870138
"280",18.886,2015-07-18 12:00:00,0.43155,-13.449,991.97533,672.73467,57.19067,12.1125,10.223,0.678176815143175,934.325698349963
"281",19.34867,2015-07-18 13:00:00,0.63543,-13.673,773.13167,668.22,55.44033,12.309,10.208,0.864302971834021,1000.98153767519
"282",19.27033,2015-07-18 14:00:00,0.47971,-6.005,466.86533,452.73967,57.48067,12.5,10.22,0.969743608933223,950.502070341298
"283",18.75333,2015-07-18 15:00:00,0.53617,-2.431,281.187,275.172,59.19533,12.6325,10.226,0.978608541646662,883.222399673798
"284",15.64,2015-07-23 15:00:00,0.35231,-6.115,557.483,497.66733,80.869,12.5215,10.567,0.892704046580793,340.049119064942
"285",12.15367,2015-07-26 10:00:00,0.85387,-3.064,230.469,229.74233,98.64567,12.396,10.877,0.99684699460665,19.1949634314622
"286",12.64467,2015-07-26 11:00:00,0.85825,-2.508,209.677,208.503,98.85833,12.3675,10.862,0.994400911878747,16.711649381291
"287",13.01633,2015-07-26 12:00:00,0.89965,-0.292,161.27,159.84333,99.03633,12.374,10.852,0.991153531344949,14.4537252685407
"288",13.246,2015-07-26 13:00:00,0.97595,1.86,86.6,86.26033,98.87133,12.409,10.846,0.996077713625866,17.1844743664526
"289",19.135,2015-08-05 10:00:00,0.65504,-12.628,1275.586,238.089,53.62862,12.0685,10.892,0.186650684469726,1027.91168171817
"290",20.118,2015-08-05 12:00:00,0.73424,-13.015,1286.74067,374.14867,47.681,12.466,10.855,0.290772397829005,1232.733595861
"291",20.742,2015-08-05 13:00:00,0.64179,-12.249,1367.86233,341.41433,47.007,12.6805,10.855,0.249596997089612,1297.62154978201
"292",15.87967,2015-08-06 10:00:00,0.45766,-1.046,186.46267,186.01567,93.80033,12.9575,11.158,0.997602737320022,111.900902873979
"293",16.40967,2015-08-06 11:00:00,0.32426,-3.958,273.92767,273.38067,93.237,13.0115,11.153,0.998003122503105,126.266969854541
"294",17.395,2015-08-06 12:00:00,0.40197,-9.368,458.56967,454.52967,90.56733,13.07,11.144,0.991189997367249,187.466776922543
"295",18.972,2015-08-06 13:00:00,0.65944,-14.368,815.78067,646.62867,79.25567,13.148,11.139,0.792650149457452,455.187862504739
"296",17.99867,2015-08-06 14:00:00,0.61214,-6.924,374.13,372.66,81.68233,13.2715,11.121,0.996070884451929,378.166901568659
"297",19.38867,2015-08-06 15:00:00,0.58038,-18.025,902.83367,651.611,73.46667,13.434,11.144,0.721739808396822,597.525603058759
"298",19.57067,2015-08-07 10:00:00,0.71396,-13.058,987.781,506.86267,64.71767,13.0675,11.335,0.513132637700057,803.590449960221
"299",19.08967,2015-08-07 11:00:00,0.78569,-6.048,739.78567,356.21167,66.414,13.194,11.304,0.481506582845813,742.398281877293
"306",19.435,2015-08-10 10:00:00,0.21313,-11.953,1094.585,242.50793,56.79724,13.0735,11.644,0.22155239657039,975.725163286467
"307",20.08267,2015-08-10 11:00:00,0.33244,-9.811,932.78,372.805,55.66367,13.2265,11.628,0.399670876305238,1042.36654719475
"308",19.977,2015-08-11 10:00:00,0.47416,-17.161,1335.54467,434.54533,59.483,13.3325,11.694,0.325369371583805,946.363160018649
"309",19.845,2015-08-11 11:00:00,0.26471,-9.043,701.74333,345.67233,61.52467,13.5255,11.665,0.492590830895393,891.357135994517
"310",20.889,2015-08-11 12:00:00,0.57692,-19.24,1228.95433,523.561,55.653,13.769,11.657,0.426021526772276,1095.77355042641
"311",21.03233,2015-08-11 13:00:00,0.4791,-15.096,770.74,638.76233,55.68,13.9475,11.654,0.828764992085528,1104.79321440512
"312",21.449,2015-08-11 14:00:00,0.54839,-11.036,803.53967,526.11767,53.31067,14.1175,11.65,0.654750088443051,1193.9700285132
"313",22.131,2015-08-11 15:00:00,0.54348,-9.208,1015.85233,357.41233,47.47867,14.269,11.667,0.351834926637418,1400.21262017913
"314",17.215,2015-08-12 10:00:00,0.37065,-11.925,814.14467,666.702,76.32893,13.8675,11.909,0.818898685414227,465.120459712574
"315",18.04033,2015-08-12 11:00:00,0.38879,-13.142,768.86133,668.109,69.67267,13.9635,11.896,0.868959035825095,627.747358764613
"316",18.13,2015-08-12 12:00:00,0.32706,-6.882,425.29267,425.11433,70.07967,14.0915,11.887,0.999580665239305,622.8221871493
"317",18.244,2015-08-12 14:00:00,0.66465,-10.718,505.989,501.19833,69.137,14.249,11.884,0.99053206690264,647.059576148202
"318",17.10767,2015-08-12 15:00:00,0.456,0.309,215.792,214.60167,75.31767,14.3155,11.89,0.994483901164084,481.707607639475
"320",19.79467,2015-08-19 10:00:00,0.39625,-9.15,1160.735,186.15333,46.89483,12.099,11.128,0.160375391454553,1226.45388766458
"321",20.329,2015-08-19 11:00:00,0.21926,-11.107,1297.94067,193.47133,41.18567,12.3005,11.096,0.149060226304489,1403.96294868054
"322",20.85367,2015-08-19 12:00:00,0.17555,-10.83,1212.23967,221.859,38.023,12.559,11.09,0.183015789278699,1528.07160109258
"325",20.87,2015-08-20 11:00:00,0.38828,-16.831,1265.17333,182.56067,40.622,12.52,11.214,0.144296963642128,1465.4628382145
"326",21.15433,2015-08-20 12:00:00,0.20103,-10.881,1327.37767,192.32,38.697,12.7655,11.198,0.144887174424141,1539.62563201378
"327",21.76167,2015-08-20 13:00:00,0.28696,-10.665,1287.002,195.68667,35.58767,12.9955,11.193,0.152048458355154,1678.98461547214
"328",22.05867,2015-08-20 14:00:00,0.45699,-7.133,1189.83733,186.3931,38.89967,13.2465,11.187,0.156654271386829,1621.76747001901
"329",22.34833,2015-08-20 15:00:00,0.61079,-8.288,1063.178,190.52433,37.90667,13.409,11.186,0.179202664088234,1677.43435743545
"330",20.652,2015-08-21 14:00:00,0.37466,-9.397,1212.789,179.544,45.58367,13.395,11.332,0.148042239829022,1325.11106930619
"331",21.133,2015-08-21 15:00:00,0.5546,-8.466,1053.94067,191.93667,48.777,13.5315,11.334,0.182113353686218,1284.78377031048
"332",19.44367,2015-08-22 11:00:00,0.24925,-10.776,1247.9,183.14333,52.463,12.608,11.395,0.146761222854395,1074.19193445014
"333",20.74967,2015-08-22 12:00:00,0.20267,-10.727,1307.30533,197.027,41.99267,12.8375,11.354,0.150712305288314,1421.07640795951
"334",21.62833,2015-08-22 13:00:00,0.51752,-9.655,1262.735,203.01933,39.398,13.0525,11.353,0.160777463204869,1566.8474356233
"335",22.11833,2015-08-22 14:00:00,0.3184,-9.354,1200.403,185.14933,37.074,13.2515,11.314,0.154239309631849,1676.30613258452
"336",22.31533,2015-08-22 15:00:00,0.35786,-8.525,1043.44167,187.14633,37.53767,13.4435,11.334,0.179354855552204,1684.02080939594
"337",21.42567,2015-08-24 10:00:00,0.38356,-11.217,1098.165,213.90167,48.83667,13.0185,11.594,0.194780993748663,1306.51479026932
"338",21.827,2015-08-24 11:00:00,0.37585,-7.133,990.296,230.236,45.01333,13.244,11.568,0.232492103371113,1439.02129256199
"339",22.13167,2015-08-24 12:00:00,0.57241,-7.733,1029.52467,322.99533,46.271,13.5105,11.555,0.31373248200065,1432.46740162636
"340",22.62933,2015-08-24 13:00:00,0.54207,-8.322,1264.45933,249.022,38.41467,13.715,11.554,0.196939509315812,1692.3423617933
"341",22.99967,2015-08-24 14:00:00,0.35122,-7.44,1165.51767,231.64667,39.36133,13.9405,11.544,0.198750028388673,1704.12942191454
"342",23.271,2015-08-24 15:00:00,0.55442,-4.909,1011.29233,227.22867,36.421,14.1025,11.548,0.224691380780076,1816.29537662366
"343",21.17967,2015-08-25 11:00:00,0.63252,-14.552,1169.154,285.27933,55.63034,13.47,11.708,0.244004921507346,1116.07815931011
"344",22.10267,2015-08-25 12:00:00,0.58217,-9.863,1237.689,300.068,48.81133,13.671,11.68,0.242442164388631,1362.33172972451
"345",22.64533,2015-08-25 13:00:00,0.34195,-7.854,982.162,377.697,41.08133,13.903,11.675,0.384556722821693,1620.63550087429
"346",23.13567,2015-08-25 14:00:00,0.42792,-8.319,1194.392,317.37533,36.41933,14.128,11.665,0.265721245621203,1801.55942126449
"347",23.487,2015-08-25 15:00:00,0.58593,-7.382,1047.45533,342.31767,36.655,14.3025,11.68,0.326808848258952,1833.33789384652
"348",15.04967,2015-08-26 10:00:00,0.48786,-0.774,150.608,149.73367,89.923,13.3625,11.865,0.994194664294061,172.454493521495
"349",14.71133,2015-08-26 11:00:00,0.3131,0.237,113.375,112.85233,95.22233,13.4205,11.861,0.995389900771775,80.0000738541823
"350",15.44933,2015-08-26 13:00:00,0.21204,-3.095,206.689,205.97367,94.42367,13.464,11.825,0.996539099806956,97.9138720770532
"351",15.36667,2015-08-26 14:00:00,0.19491,0.526,95.51367,95.20533,97.144,13.51,11.816,0.996771770993618,49.8827319200418
"352",15.24133,2015-08-26 15:00:00,0.22339,-1.706,163.13467,162.014,97.49733,13.556,11.808,0.993130399564973,43.3610226697099
"353",16.769,2015-08-27 12:00:00,0.39826,-5.237,407.57533,405.17333,79.48433,13.5075,11.733,0.99410661091779,391.884076886227
"354",16.643,2015-08-27 14:00:00,0.1561,-1.028,143.784,143.28033,85.028,13.7425,11.734,0.9964970372225,283.710829409307
"355",16.63367,2015-08-27 15:00:00,0.24699,-2.491,191.886,190.821,86.088,13.799,11.737,0.994449829586317,263.468167461549
"356",15.28633,2016-08-20 10:00:00,0.251,-7.188,417.17933,413.86933,92.731,13.2815,11.867,0.992065762222687,126.306638849349
"357",15.96533,2016-08-20 11:00:00,0.141,-9.44,586.80067,568.63567,89.52833,13.349,11.858,0.969044002625287,190.045948187097
"358",15.512,2016-08-20 12:00:00,0.416,4.608,102.749,102.162,92.88867,13.45,11.855,0.994287049022375,125.369587717474
"359",15.85933,2016-08-20 13:00:00,0.356,-12.116,1142.462,544.25333,90.965,13.5605,11.856,0.476386374338928,162.865225183453
"360",17.68467,2016-08-20 14:00:00,0.377,-9.711,1009.32633,403.73033,76.21233,13.6925,11.867,0.399999799866511,481.482123811532
"361",18.70233,2016-08-21 13:00:00,0.723,-24.888,925.563,794.048,69.31167,13.3535,11.884,0.857908105661095,662.138307164674
"362",19.36967,2016-08-21 14:00:00,0.757,-17.029,699.57967,649.31333,65.18333,13.5175,11.873,0.928147797662559,783.138762671412
"363",19.18967,2016-08-21 15:00:00,0.692,-7.918,315.80133,312.554,71.51333,13.6855,11.864,0.98971717440202,633.617018892406
"364",16.24333,2016-08-22 10:00:00,0.497,-0.542,176.46633,175.94167,96.94,14.065,12.123,0.997026854924676,56.5287554240886
"365",16.09,2016-08-22 11:00:00,0.559,1.914,99.319,99.14133,98.10633,14.1,12.121,0.998211117711616,34.6421260384016
"366",16.00467,2016-08-22 12:00:00,0.517,1.865,95.69367,94.92667,98.563,14.1515,12.136,0.99198484079459,26.1451326779477
"367",16.186,2016-08-22 13:00:00,0.459,0.762,162.048,161.59767,98.77933,14.1875,12.136,0.997221008590047,22.4677009864936
"368",16.53467,2016-08-22 14:00:00,0.602,-0.386,166.61433,166.09067,98.616,14.225,12.14,0.996857053051799,26.046000859284
"369",16.795,2016-08-22 15:00:00,0.481,0.404,119.37233,118.701,98.44633,14.281,12.16,0.99437616740831,29.7267544632734
"370",13.75867,2016-08-23 10:00:00,0.468,-2.853,319.475,318.111,93.394,13.7995,12.307,0.995730495343924,103.995346065753
"371",14.13867,2016-08-23 11:00:00,0.478,-7.08,316.98533,315.16433,91.12433,13.816,12.291,0.99425525465169,143.215643349848
"372",14.253,2016-08-23 12:00:00,0.526,-3.352,237.991,237.12167,88.93633,13.8485,12.275,0.996347214810644,179.848031092659
"373",14.68633,2016-08-23 13:00:00,0.397,-5.483,343.62467,342.84033,86.41167,13.8915,12.278,0.997717451427454,227.164073585504
"374",15.365,2016-08-23 14:00:00,0.435,-6.663,387.262,385.985,82.52633,13.929,12.269,0.996702490820168,305.161399875046
"375",16.03267,2016-08-23 15:00:00,0.32,-7.911,373.762,368.408,80.15633,13.969,12.267,0.985675376308988,361.686816657354
"376",13.07267,2016-08-25 11:00:00,0.492,-2.28,192.81567,192.52033,99.55167,12.799,12.116,0.998468278019105,6.74915246579849
"377",13.962,2016-08-25 12:00:00,0.51,-0.102,204.85433,204.53333,99.14033,12.816,12.083,0.998433032877557,13.7133626370248
"378",15.136,2016-08-25 13:00:00,0.569,-12.525,550.38567,542.44,95.89067,12.872,12.053,0.985563450443759,70.7174027213878
"379",16.49,2016-08-25 14:00:00,0.588,-16.897,711.875,643.471,90.364,12.9565,12.035,0.903910096575944,180.828804226738
"380",18.85767,2017-07-10 12:00:00,0.64668,-7.876,639.38212,555.46672,59.90967,11.069,8.769,0.868755479117871,873.436116549312
"381",19.97367,2017-07-10 14:00:00,0.65196,-9.335,1169.34149,457.90767,56.67433,11.4215,8.772,0.391594477674781,1011.75716992256
"382",20.67233,2017-07-10 15:00:00,0.62648,-7.689,866.6598,476.67052,52.078,11.573,8.781,0.550008803915908,1168.42736285625
"383",18.79567,2017-07-11 11:00:00,0.62398,-8.154,477.69387,442.89371,64.16633,11.418,9.058,0.927149661769786,777.679564080866
"384",18.24267,2017-07-11 12:00:00,0.67485,-2.668,301.34206,300.76051,63.43167,11.5685,9.065,0.998070133322909,766.610932698567
"385",18.383,2017-07-11 13:00:00,0.67398,-10.358,522.01255,519.80761,68.12667,11.68,9.071,0.995776078563628,674.093170346005
"386",18.403,2017-07-11 14:00:00,0.74941,-6.559,362.56007,358.92935,68.00133,11.7575,9.076,0.989985880132912,677.592946235166
"387",15.173,2017-07-24 13:00:00,0.46221,-12.187,433.99699,429.80076,81.281,11.3425,9.607,0.990331200223301,322.902336775854
"388",15.63333,2017-07-24 14:00:00,0.41686,-2.768,215.80487,214.62764,78.99067,11.406,9.594,0.994544933114809,373.276482007674
"389",15.49633,2017-07-24 15:00:00,0.59546,-9.414,462.92579,448.64095,80.38967,11.4855,9.593,0.969142267921604,345.374188136849
"390",16.09167,2017-07-27 10:00:00,0.30926,-4.138,355.52812,354.52158,81.24033,11.66,9.887,0.997168887794304,343.219318968968
"391",15.79867,2017-07-27 11:00:00,0.21752,-0.789,166.22624,164.29583,87.734,11.7675,9.883,0.988386851558454,220.251154914512
"392",16.246,2017-07-27 12:00:00,0.22708,-5.782,337.58856,335.26757,85.22633,11.8535,9.886,0.993124796645953,272.967105012178
"393",18.68767,2017-07-27 14:00:00,0.52228,-24.522,1008.44166,527.37354,63.141,12.0335,9.864,0.522958898782504,794.549316192234
"394",18.877,2017-07-27 15:00:00,0.39528,-5.463,507.56369,421.47532,61.873,12.1815,9.859,0.830389029601389,831.664997916667
"395",14.982,2017-07-28 10:00:00,0.45955,2.581,125.36923,125.55185,98.751,11.9585,10.07,1.0014566572675,21.2820699921667
"396",16.542,2017-07-28 13:00:00,0.46037,-5.664,329.20474,328.90692,96.98467,12.135,10.044,0.999095335018566,56.7730570892243
"397",17.667,2017-07-28 14:00:00,0.41583,-9.01,714.41326,621.10001,92.08967,12.241,10.049,0.869384773177362,159.933382755369
"398",19.27767,2017-07-28 15:00:00,0.71745,-15.75,1027.61693,472.45565,83.83667,12.369,10.032,0.459758530836973,361.489712002901
"399",17.18167,2017-07-29 10:00:00,0.50036,-14.144,640.4686,550.40765,75.82567,12.5875,10.307,0.859382723836891,474.008486960596
"400",17.93567,2017-07-29 11:00:00,0.66292,-18.74,768.5207,716.26686,71.594,12.6715,10.311,0.932007244567388,584.120688629146
"401",18.40633,2017-07-29 12:00:00,0.59339,-15.356,841.24067,760.10412,65.49333,12.7705,10.293,0.903551322595946,730.854026175625
"402",19.01367,2017-07-29 13:00:00,0.49468,-13.809,876.67454,706.03595,60.477,12.8915,10.305,0.805356968619164,869.501315921335
"403",19.34267,2017-07-29 14:00:00,0.57424,-14.469,994.51997,695.74575,60.988,13.01,10.298,0.699579466463605,876.032440902271
"404",19.76633,2017-07-29 15:00:00,0.50707,-16.075,939.93538,447.58377,57.07167,13.124,10.298,0.476185682041248,989.680968389285
"405",15.19667,2017-07-30 10:00:00,0.44165,-15.258,1006.5961,707.77582,85.407,12.326,10.492,0.703137852411707,252.112265379351
"406",16.82833,2017-07-30 11:00:00,0.48202,-19.26,1106.53509,814.26238,76.39767,12.399,10.464,0.735866749603033,452.545516180269
"407",18.22667,2017-07-30 12:00:00,0.55619,-16.898,1243.19314,523.60979,68.69033,12.5355,10.44,0.421181370096685,655.710687875547
"408",19.02667,2017-07-30 13:00:00,0.48883,-12.092,1083.94141,511.9195,63.52767,12.7,10.43,0.472275987684611,803.037857763771
"409",16.58,2017-07-31 15:00:00,0.39469,-10.481,556.81101,500.89843,88.85267,13.028,10.578,0.899584277257736,210.391286961395
"410",14.238,2017-08-02 10:00:00,0.49171,-0.306,128.65775,128.80056,99.11333,12.4965,10.724,1.00110999920331,14.3994719606708
"412",14.90367,2017-08-02 12:00:00,0.15923,-7.303,396.91536,394.84292,94.77967,12.573,10.704,0.994778634921057,88.5030571956747
